win,lose,probability
Boston Celtics,Detroit Pistons,0.7076988393389038
Houston Rockets,Memphis Grizzlies,0.9577223157017717
Oklahoma City Thunder,Los Angeles Clippers,0.617399375362293
Utah Jazz,Orlando Magic,0.866702789514262
Minnesota Timberwolves,Phoenix Suns,0.9235720120033248
San Antonio Spurs,Chicago Bulls,0.7865047905831225
Atlanta Hawks,Brooklyn Nets,0.5694715702151876
Philadelphia 76ers,Cleveland Cavaliers,0.5046337417655639
Sacramento Kings,Dallas Mavericks,0.5998441331669893
Toronto Raptors,Denver Nuggets,0.635124111731416
Indiana Pacers,New York Knicks,0.7550744993557866
New Orleans Pelicans,Miami Heat,0.5961922202589923
Washington Wizards,Los Angeles Lakers,0.6451435597926055
Milwaukee Bucks,Detroit Pistons,0.5598152816569427
Golden State Warriors,Memphis Grizzlies,0.929007301312117
Houston Rockets,Utah Jazz,0.7660564784358472
Portland Trail Blazers,Los Angeles Clippers,0.6194105109726691
Minnesota Timberwolves,Sacramento Kings,0.7766444801951919
New York Knicks,Phoenix Suns,0.5814598054615367
Oklahoma City Thunder,Chicago Bulls,0.818703367944393
Philadelphia 76ers,San Antonio Spurs,0.5788160334446903
Washington Wizards,Atlanta Hawks,0.8411952591822723
Los Angeles Lakers,Brooklyn Nets,0.7301869986005975
Denver Nuggets,Dallas Mavericks,0.7968824356483718
Cleveland Cavaliers,Indiana Pacers,0.5141824318381774
Boston Celtics,Phoenix Suns,0.9147053210833779
Brooklyn Nets,Chicago Bulls,0.6664033374669739
Cleveland Cavaliers,Charlotte Hornets,0.7371336111261488
Houston Rockets,Washington Wizards,0.8197877643582808
New Orleans Pelicans,Milwaukee Bucks,0.5464320310694628
Minnesota Timberwolves,Detroit Pistons,0.5724484519570432
San Antonio Spurs,Orlando Magic,0.8548027834045986
Philadelphia 76ers,New York Knicks,0.8154954772681587
Portland Trail Blazers,Memphis Grizzlies,0.8440040218705791
Oklahoma City Thunder,Sacramento Kings,0.8706542695114361
Toronto Raptors,Indiana Pacers,0.6888967603236718
Golden State Warriors,Utah Jazz,0.6273904515074458
Los Angeles Clippers,Dallas Mavericks,0.6903471816095482
Houston Rockets,Miami Heat,0.7560761476561527
Boston Celtics,Milwaukee Bucks,0.7042873540080247
Indiana Pacers,Brooklyn Nets,0.846973593832237
Orlando Magic,Chicago Bulls,0.6222526954348242
Detroit Pistons,Charlotte Hornets,0.6171874352534165
New Orleans Pelicans,Los Angeles Lakers,0.7167122036677991
Atlanta Hawks,New York Knicks,0.5191775444289485
Utah Jazz,Portland Trail Blazers,0.5189817764068179
Memphis Grizzlies,Sacramento Kings,0.5465190425282997
Minnesota Timberwolves,San Antonio Spurs,0.5175729330548648
Toronto Raptors,Cleveland Cavaliers,0.6677551322257365
Golden State Warriors,Dallas Mavericks,0.8980344954907853
Houston Rockets,San Antonio Spurs,0.7833867734881489
Denver Nuggets,Los Angeles Clippers,0.6020019003351988
Miami Heat,Milwaukee Bucks,0.5331894501521879
Toronto Raptors,Philadelphia 76ers,0.5618750061498762
Utah Jazz,Oklahoma City Thunder,0.5252346995029893
Washington Wizards,Phoenix Suns,0.8480196186714115
Boston Celtics,Charlotte Hornets,0.7477038271648738
Brooklyn Nets,Phoenix Suns,0.5314138794145042
Cleveland Cavaliers,Chicago Bulls,0.8324880121276366
Detroit Pistons,Atlanta Hawks,0.7024020334405624
Golden State Warriors,Los Angeles Clippers,0.77940678763845
Indiana Pacers,Washington Wizards,0.5677212010640955
Los Angeles Lakers,Memphis Grizzlies,0.6868250984971855
Oklahoma City Thunder,Minnesota Timberwolves,0.5332713050476591
Miami Heat,Orlando Magic,0.8153145567915157
Portland Trail Blazers,Dallas Mavericks,0.7845466105164587
